INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/jovyan/tflite_models/InceptionV3_quant.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/jovyan/tflite_models/InceptionV3_quant.tflite
INFO: The input model file size (MB): 24.1382
INFO: Initialized session in 70.844ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=5 first=109544 curr=109403 min=109062 max=109544 avg=109348 std=181 p5=109062 median=109403 p95=109544

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=109497 curr=109252 min=108767 max=110305 avg=109216 std=415 p5=108767 median=109147 p95=110305

INFO: Inference timings in us: Init: 70844, First inference: 109544, Warmup (avg): 109348, Inference (avg): 109216
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=64.3555 overall=66.8555
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                  Convert (NC, F32, QD8)	    0.166	    0.162	  0.148%	 63.151%	     0.000	        1	Delegate/Convert (NC, F32, QD8):102
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.512	    0.515	  0.472%	 63.624%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:103
	                  Convert (NC, F32, QD8)	    0.023	    0.023	  0.021%	 63.645%	     0.000	        1	Delegate/Convert (NC, F32, QD8):104
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.757	    0.758	  0.695%	 64.340%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:105
	                  Convert (NC, F32, QD8)	    0.023	    0.023	  0.021%	 64.361%	     0.000	        1	Delegate/Convert (NC, F32, QD8):106
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.752	    0.763	  0.700%	 65.061%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:107
	                  Convert (NC, F32, QD8)	    0.023	    0.023	  0.021%	 65.082%	     0.000	        1	Delegate/Convert (NC, F32, QD8):108
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.757	    0.762	  0.699%	 65.782%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:109
	                  Convert (NC, F32, QD8)	    0.023	    0.023	  0.021%	 65.803%	     0.000	        1	Delegate/Convert (NC, F32, QD8):110
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.931	    0.925	  0.849%	 66.651%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:111
	                          Copy (NC, X32)	    0.254	    0.270	  0.248%	 66.899%	     0.000	        1	Delegate/Copy (NC, X32):112
	Average Pooling (NHWC, F32) Pixelwise Average Pooling	    0.204	    0.204	  0.187%	 67.086%	     0.000	        1	Delegate/Average Pooling (NHWC, F32) Pixelwise Average Pooling:113
	                  Convert (NC, F32, QD8)	    0.141	    0.144	  0.133%	 67.219%	     0.000	        1	Delegate/Convert (NC, F32, QD8):114
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.612	    0.617	  0.566%	 67.785%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:115
	                  Convert (NC, F32, QD8)	    0.149	    0.153	  0.141%	 67.926%	     0.000	        1	Delegate/Convert (NC, F32, QD8):116
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.614	    0.617	  0.566%	 68.492%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:117
	                  Convert (NC, F32, QD8)	    0.135	    0.140	  0.128%	 68.621%	     0.000	        1	Delegate/Convert (NC, F32, QD8):118
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.508	    0.511	  0.469%	 69.089%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:119
	                  Convert (NC, F32, QD8)	    0.022	    0.022	  0.020%	 69.110%	     0.000	        1	Delegate/Convert (NC, F32, QD8):120
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.760	    0.755	  0.692%	 69.802%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:121
	                  Convert (NC, F32, QD8)	    0.023	    0.023	  0.021%	 69.823%	     0.000	        1	Delegate/Convert (NC, F32, QD8):122
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.910	    0.902	  0.828%	 70.651%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:123
	                  Convert (NC, F32, QD8)	    0.180	    0.166	  0.152%	 70.803%	     0.000	        1	Delegate/Convert (NC, F32, QD8):124
