INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/jovyan/tflite_models/ResNet152.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/jovyan/tflite_models/ResNet152.tflite
INFO: The input model file size (MB): 240.571
INFO: Initialized session in 586.382ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=1 curr=697941 p5=697941 median=697941 p95=697941

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=687280 curr=683452 min=682607 max=687473 avg=684591 std=1609 p5=682607 median=684310 p95=687473

INFO: Inference timings in us: Init: 586382, First inference: 697941, Warmup (avg): 697941, Inference (avg): 684591
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=570.246 overall=571.746
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	          Fully Connected (NC, F32) GEMM	    2.836	    2.832	  0.414%	 41.935%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:101
	           Convolution (NHWC, F32) IGEMM	    6.811	    6.816	  0.996%	 42.931%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:102
	          Fully Connected (NC, F32) GEMM	    2.822	    2.820	  0.412%	 43.343%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:103
	                 Binary Elementwise (ND)	    0.128	    0.129	  0.019%	 43.362%	     0.000	        1	Delegate/Binary Elementwise (ND):104
	                  Unary Elementwise (NC)	    0.054	    0.057	  0.008%	 43.370%	     0.000	        1	Delegate/Unary Elementwise (NC):105
	          Fully Connected (NC, F32) GEMM	    2.830	    2.839	  0.415%	 43.785%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:106
	           Convolution (NHWC, F32) IGEMM	    6.842	    6.818	  0.996%	 44.782%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:107
	          Fully Connected (NC, F32) GEMM	    2.922	    2.833	  0.414%	 45.196%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:108
	                 Binary Elementwise (ND)	    0.157	    0.124	  0.018%	 45.214%	     0.000	        1	Delegate/Binary Elementwise (ND):109
	                  Unary Elementwise (NC)	    0.061	    0.054	  0.008%	 45.222%	     0.000	        1	Delegate/Unary Elementwise (NC):110
	          Fully Connected (NC, F32) GEMM	    2.839	    2.833	  0.414%	 45.636%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:111
	           Convolution (NHWC, F32) IGEMM	    6.833	    6.844	  1.000%	 46.636%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:112
	          Fully Connected (NC, F32) GEMM	    2.820	    2.827	  0.413%	 47.049%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:113
	                 Binary Elementwise (ND)	    0.126	    0.123	  0.018%	 47.067%	     0.000	        1	Delegate/Binary Elementwise (ND):114
	                  Unary Elementwise (NC)	    0.056	    0.057	  0.008%	 47.075%	     0.000	        1	Delegate/Unary Elementwise (NC):115
	          Fully Connected (NC, F32) GEMM	    2.857	    2.830	  0.413%	 47.489%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:116
	           Convolution (NHWC, F32) IGEMM	    6.732	    6.766	  0.989%	 48.477%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:117
	          Fully Connected (NC, F32) GEMM	    2.820	    2.826	  0.413%	 48.890%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:118
	                 Binary Elementwise (ND)	    0.123	    0.132	  0.019%	 48.909%	     0.000	        1	Delegate/Binary Elementwise (ND):119
	                  Unary Elementwise (NC)	    0.053	    0.055	  0.008%	 48.917%	     0.000	        1	Delegate/Unary Elementwise (NC):120
	          Fully Connected (NC, F32) GEMM	    2.825	    2.832	  0.414%	 49.331%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:121
